Distance_(µm),Gray_Value
0,19.0833
0.43,19.4317
0.859,19.7223
1.289,20.4691
1.718,20.9721
2.148,21.9334
2.577,22.659
3.007,22.5239
3.436,21.688
3.866,20.4725
4.296,19.7646
4.725,19.2373
5.155,18.7119
5.584,18.2411
6.014,17.9135
6.443,18.1874
6.873,18.4758
7.302,18.8844
7.732,19.7248
8.162,20.3683
8.591,20.5762
9.021,20.6816
9.45,21.7573
9.88,22.5703
10.309,23.1794
10.739,23.3166
11.168,23.7953
11.598,24.5958
12.027,25.0924
12.457,25.4158
12.887,25.3409
13.316,24.8304
13.746,24.3682
14.175,24.11
14.605,23.5252
15.034,22.7024
15.464,21.7883
15.893,20.7769
16.323,20.7444
16.753,20.0768
17.182,19.4773
17.612,19.3523
18.041,19.3338
18.471,19.1955
18.9,19.2302
19.33,19.8633
19.759,21.1518
20.189,22.2549
20.619,22.6875
21.048,23.0375
21.478,23.2024
21.907,22.9923
22.337,23
22.766,22.4354
23.196,21.9519
23.625,21.6746
24.055,21.1526
24.485,20.6464
24.914,21.1547
25.344,21.773
25.773,21.9851
26.203,21.2917
26.632,20.424
27.062,20.1392
27.491,20.2287
27.921,20.5156
28.351,20.5967
28.78,20.3967
29.21,19.4881
29.639,18.5161
30.069,18.0492
30.498,18.1243
30.928,18.3866
31.357,19.5562
31.787,20.6306
32.216,21.5058
32.646,22.7299
33.076,21.9306
33.505,20.9136
33.935,19.9525
34.364,19.7282
34.794,20.7912
35.223,21.6564
35.653,21.8026
36.082,21.7589
36.512,22.0263
36.942,22.4942
37.371,22.9931
37.801,23.0154
38.23,22.7602
38.66,22.8655
39.089,23.7329
39.519,24.1178
39.948,24.3202
40.378,23.9223
40.808,23.5502
41.237,23.1455
41.667,22.9897
42.096,22.3392
42.526,22.1855
42.955,22.0701
43.385,22.3688
43.814,21.4111
44.244,19.7251
44.674,18.9288
45.103,18.6643
45.533,19.1772
45.962,19.7745
46.392,20.2212
46.821,20.2511
47.251,20.1379
47.68,19.7411
48.11,19.8452
48.54,20.1898
48.969,21.0726
49.399,21.6317
49.828,22.1254
50.258,22.0559
50.687,22.1353
51.117,22.3132
51.546,22.1148
51.976,22.0683
52.405,22.209
52.835,22.3526
53.265,22.1712
53.694,22.29
54.124,22.7778
54.553,23.0137
54.983,23.1852
55.412,23.811
55.842,24.8363
56.271,24.8496
56.701,24.4151
57.131,24.0578
57.56,24.0507
57.99,23.7217
58.419,23.2945
58.849,23.2009
59.278,23.3081
59.708,23.3708
60.137,23.1039
60.567,22.5852
60.997,22.157
61.426,22.1429
61.856,22.9068
62.285,24.1376
62.715,25.6811
63.144,26.7746
63.574,26.8136
64.003,26.0611
64.433,24.9983
64.863,23.9503
65.292,23.0474
65.722,23.1884
66.151,24.5378
66.581,24.9456
67.01,25.0653
67.44,24.561
67.869,23.716
68.299,22.6615
68.729,21.6501
69.158,21.2485
69.588,21.631
70.017,21.6188
70.447,20.4401
70.876,19.4387
71.306,19.1229
71.735,19.2384
72.165,19.6667
72.595,19.6333
73.024,19.5564
73.454,19.1237
73.883,18.719
74.313,18.4855
74.742,18.051
75.172,17.694
75.601,17.1957
76.031,17.003
76.46,17.1885
76.89,17.4706
77.32,17.896
77.749,18.0787
78.179,18
78.608,18.4042
79.038,18.9931
79.467,19.4605
79.897,19.6981
80.326,20.0431
80.756,20.1058
81.186,21.2457
81.615,21.8475
82.045,22.2249
82.474,22.583
82.904,22.1178
83.333,21.9743
83.763,22.1327
84.192,22.7038
84.622,23.6372
85.052,23.6436
85.481,23.1938
85.911,22.8707
86.34,23.1913
86.77,23.8582
87.199,24.8967
87.629,25.4774
88.058,25.2071
88.488,24.0367
88.918,22.8866
89.347,23.0745
89.777,23.6106
90.206,23.931
90.636,23.9947
91.065,23.649
91.495,22.5939
91.924,21.4123
92.354,20.3027
92.784,19.3917
93.213,18.5064
93.643,18.3277
94.072,18.4885
94.502,18.4348
94.931,18.1998
95.361,17.9078
95.79,17.934
96.22,18.3807
96.649,18.8333
97.079,19.5078
97.509,20.3923
97.938,21.4557
98.368,22.4707
98.797,23.3778
99.227,23.478
99.656,23.0462
100.086,22.5162
100.515,22.0838
100.945,21.8637
101.375,21.8425
101.804,22.1277
102.234,21.8631
102.663,20.9075
103.093,20.0484
103.522,20.0977
103.952,21.3133
104.381,21.6725
104.811,21.6792
105.241,21.0894
105.67,20.6466
106.1,21.3881
106.529,21.8966
106.959,22.6194
107.388,24.114
107.818,25.1549
108.247,25.1343
108.677,24.7085
109.107,24.0535
109.536,23.2446
109.966,22.0389
110.395,20.6246
110.825,20.2892
111.254,20.613
111.684,21.4597
112.113,21.9897
112.543,22.4467
112.973,22.6667
113.402,22.4204
113.832,22.1483
114.261,22.646
114.691,23.0685
115.12,22.7119
115.55,21.7327
115.979,20.3149
116.409,19.6886
116.838,19.3341
117.268,19.5343
117.698,20.1957
118.127,20.2953
118.557,20.0304
118.986,19.6873
119.416,19.7289
119.845,20.2264
120.275,20.3182
120.704,20.3652
121.134,20.8183
121.564,21.6434
121.993,22.4496
122.423,23.5564
122.852,24.5724
123.282,24.9883
123.711,25.0052
124.141,24.5164
124.57,23.8007
125,23.3241
125.43,22.8186
125.859,23.0758
126.289,23.9536
126.718,25.0018
127.148,24.9326
127.577,24.1271
128.007,22.991
128.436,21.8605
128.866,20.7158
129.296,20.391
129.725,19.792
130.155,19.791
130.584,20.105
131.014,20.3457
131.443,20.5169
131.873,20.189
132.302,20.5538
132.732,21.8723
133.162,23.072
133.591,23.295
134.021,22.761
134.45,21.9236
134.88,21.6835
135.309,21.433
135.739,20.8383
136.168,20.3237
136.598,20.1308
137.027,20.0745
137.457,19.9909
137.887,20.9407
138.316,21.8295
138.746,21.576
139.175,21.3647
139.605,21.4925
140.034,21.7576
140.464,21.8487
140.893,21.9375
141.323,22.1034
141.753,22.6037
142.182,22.6063
142.612,22.3794
143.041,22.1725
143.471,21.8967
143.9,20.9281
144.33,20.3606
144.759,19.9941
145.189,19.7348
145.619,19.7729
146.048,20.4734
146.478,20.5012
146.907,20.4537
147.337,20.9964
147.766,21.9013
148.196,22.1558
148.625,21.9191
149.055,21.6533
149.485,21.4202
149.914,20.5504
150.344,20.4201
150.773,19.9588
151.203,19.6
151.632,19.438
152.062,19.3742
152.491,19.2319
152.921,19.567
153.351,20.9701
153.78,23.1821
154.21,24.3767
154.639,24.7963
155.069,24.4074
155.498,23.7494
155.928,23.2428
156.357,22.8963
156.787,23.0104
157.216,22.9544
157.646,23
158.076,22.9987
158.505,23.2916
158.935,23.9866
159.364,24.9417
159.794,24.9088
160.223,23.6229
160.653,23.2872
161.082,22.6832
161.512,21.6129
161.942,20.3661
162.371,19.6701
162.801,19.5355
163.23,20.6315
163.66,21.8024
164.089,21.621
164.519,20.3102
164.948,19.1931
165.378,18.4761
165.808,17.9876
166.237,17.5172
166.667,17.3323
167.096,17.8263
167.526,18.2183
167.955,18.1919
168.385,18.172
168.814,18.0353
169.244,18.0665
169.674,18.3394
170.103,18.768
170.533,19
170.962,19
171.392,19
171.821,18.8792
172.251,18.4736
172.68,18.5309
173.11,19.0206
173.54,19.7851
173.969,20.2784
174.399,20.6611
174.828,20.6438
175.258,20.441
175.687,20.6016
176.117,20.4809
176.546,19.5206
176.976,19.2008
177.406,19.23
177.835,19.1839
178.265,19.1491
178.694,19.4229
179.124,20.1067
179.553,21.6029
179.983,22.0759
180.412,21.7092
180.842,21.9994
181.271,21.8597
181.701,21.7445
