,Treatment,MouseId,Region,cFos,Sections
0,Cocaine,Mouse 1,CeCc,47,4
1,Cocaine,Mouse 1,CeCfd,4,4
2,Cocaine,Mouse 1,CeCfv,16,4
3,Cocaine,Mouse 1,CeLc,101,4
4,Cocaine,Mouse 1,CeLf,4,4
5,Cocaine,Mouse 1,CeM,43,8
6,Cocaine,Mouse 4,CeCc,40,4
7,Cocaine,Mouse 4,CeCfd,14,4
8,Cocaine,Mouse 4,CeCfv,19,4
9,Cocaine,Mouse 4,CeLc,52,4
10,Cocaine,Mouse 4,CeLf,7,4
11,Cocaine,Mouse 4,CeM,73,8
12,Cocaine,Mouse 6,CeCc,58,3
13,Cocaine,Mouse 6,CeCfd,19,4
14,Cocaine,Mouse 6,CeCfv,49,4
15,Cocaine,Mouse 6,CeLc,52,3
16,Cocaine,Mouse 6,CeLf,12,4
17,Cocaine,Mouse 6,CeM,52,7
18,Cocaine,Mouse 9,CeCc,54,4
19,Cocaine,Mouse 9,CeCfd,7,5
20,Cocaine,Mouse 9,CeCfv,19,5
21,Cocaine,Mouse 9,CeLc,117,4
22,Cocaine,Mouse 9,CeLf,6,5
23,Cocaine,Mouse 9,CeM,126,9
24,Vehicle,Mouse 10,CeCc,11,3
25,Vehicle,Mouse 10,CeCfd,11,4
26,Vehicle,Mouse 10,CeCfv,12,4
27,Vehicle,Mouse 10,CeLc,6,3
28,Vehicle,Mouse 10,CeLf,6,4
29,Vehicle,Mouse 10,CeM,35,7
30,Vehicle,Mouse 2,CeCc,16,4
31,Vehicle,Mouse 2,CeCfd,3,4
32,Vehicle,Mouse 2,CeCfv,6,4
33,Vehicle,Mouse 2,CeLc,11,4
34,Vehicle,Mouse 2,CeLf,7,4
35,Vehicle,Mouse 2,CeM,57,8
36,Vehicle,Mouse 3,CeCc,8,4
37,Vehicle,Mouse 3,CeCfd,10,4
38,Vehicle,Mouse 3,CeCfv,4,4
39,Vehicle,Mouse 3,CeLc,10,4
40,Vehicle,Mouse 3,CeLf,6,4
41,Vehicle,Mouse 3,CeM,73,8
42,Vehicle,Mouse 5,CeCc,15,4
43,Vehicle,Mouse 5,CeCfd,3,4
44,Vehicle,Mouse 5,CeCfv,12,4
45,Vehicle,Mouse 5,CeLc,10,4
46,Vehicle,Mouse 5,CeLf,6,4
47,Vehicle,Mouse 5,CeM,60,8
48,Vehicle,Mouse 7,CeCc,8,3
49,Vehicle,Mouse 7,CeCfd,3,2
50,Vehicle,Mouse 7,CeCfv,3,2
51,Vehicle,Mouse 7,CeLc,3,3
52,Vehicle,Mouse 7,CeLf,0,2
53,Vehicle,Mouse 7,CeM,9,5
54,Vehicle,Mouse 8,CeCc,3,4
55,Vehicle,Mouse 8,CeCfd,1,4
56,Vehicle,Mouse 8,CeCfv,8,4
57,Vehicle,Mouse 8,CeLc,9,4
58,Vehicle,Mouse 8,CeLf,3,4
59,Vehicle,Mouse 8,CeM,51,8
