,MouseId,Treatment,AP_coordinate_neg,Region,cFos
0,Mouse 1,Cocaine,0.82,CeCfd,0
1,Mouse 1,Cocaine,0.82,CeCfd,1
2,Mouse 1,Cocaine,1.06,CeCfd,1
3,Mouse 1,Cocaine,1.06,CeCfd,2
4,Mouse 2,Vehicle,0.94,CeCfd,0
5,Mouse 2,Vehicle,0.82,CeCfd,0
6,Mouse 2,Vehicle,1.06,CeCfd,0
7,Mouse 2,Vehicle,1.06,CeCfd,3
8,Mouse 3,Vehicle,0.94,CeCfd,3
9,Mouse 3,Vehicle,1.06,CeCfd,3
10,Mouse 3,Vehicle,0.82,CeCfd,0
11,Mouse 3,Vehicle,1.06,CeCfd,4
12,Mouse 4,Cocaine,0.82,CeCfd,3
13,Mouse 4,Cocaine,1.06,CeCfd,3
14,Mouse 4,Cocaine,0.94,CeCfd,0
15,Mouse 4,Cocaine,1.06,CeCfd,8
16,Mouse 5,Vehicle,0.82,CeCfd,0
17,Mouse 5,Vehicle,0.94,CeCfd,0
18,Mouse 5,Vehicle,0.94,CeCfd,1
19,Mouse 5,Vehicle,1.06,CeCfd,2
20,Mouse 6,Cocaine,0.82,CeCfd,2
21,Mouse 6,Cocaine,0.94,CeCfd,2
22,Mouse 6,Cocaine,1.06,CeCfd,11
23,Mouse 6,Cocaine,1.06,CeCfd,4
24,Mouse 7,Vehicle,1.06,CeCfd,2
25,Mouse 7,Vehicle,1.06,CeCfd,1
26,Mouse 8,Vehicle,0.82,CeCfd,0
27,Mouse 8,Vehicle,0.94,CeCfd,0
28,Mouse 8,Vehicle,1.06,CeCfd,1
29,Mouse 8,Vehicle,1.06,CeCfd,0
30,Mouse 9,Cocaine,0.94,CeCfd,2
31,Mouse 9,Cocaine,0.82,CeCfd,0
32,Mouse 9,Cocaine,1.06,CeCfd,4
33,Mouse 9,Cocaine,0.94,CeCfd,0
34,Mouse 9,Cocaine,1.06,CeCfd,1
35,Mouse 10,Vehicle,0.82,CeCfd,0
36,Mouse 10,Vehicle,0.94,CeCfd,1
37,Mouse 10,Vehicle,1.06,CeCfd,4
38,Mouse 10,Vehicle,1.06,CeCfd,6
39,Mouse 1,Cocaine,0.82,CeCfv,3
40,Mouse 1,Cocaine,0.82,CeCfv,0
