,MouseId,Treatment,AP_coordinate_neg,CeLf,CeCfd,CeCfv,CeCc,CeLc,CeM
0,Mouse 1,Haloperidol,1.06,17.0,0.0,0.0,,,1.0
1,Mouse 1,Haloperidol,1.06,8.0,0.0,0.0,,,1.0
2,Mouse 1,Haloperidol,0.94,21.0,1.0,0.0,,,1.0
3,Mouse 1,Haloperidol,0.94,6.0,2.0,0.0,,,1.0
4,Mouse 1,Haloperidol,1.46,,,,0.0,2.0,0.0
5,Mouse 1,Haloperidol,1.58,,,,1.0,6.0,0.0
6,Mouse 1,Haloperidol,1.34,,,,0.0,1.0,0.0
7,Mouse 1,Haloperidol,1.34,,,,0.0,2.0,0.0
30,Mouse 2,Quinpirole,0.94,1.0,0.0,1.0,,,4.0
31,Mouse 2,Quinpirole,0.94,2.0,1.0,0.0,,,1.0
32,Mouse 2,Quinpirole,1.06,0.0,1.0,4.0,,,1.0
33,Mouse 2,Quinpirole,1.06,0.0,2.0,0.0,,,5.0
34,Mouse 2,Quinpirole,1.34,,,,10.0,22.0,3.0
35,Mouse 2,Quinpirole,1.22,,,,,,
36,Mouse 2,Quinpirole,1.46,,,,12.0,15.0,1.0
37,Mouse 2,Quinpirole,1.58,,,,11.0,29.0,3.0
45,Mouse 3,Quinpirole,0.94,0.0,0.0,1.0,,,1.0
46,Mouse 3,Quinpirole,0.94,0.0,0.0,0.0,,,0.0
47,Mouse 3,Quinpirole,1.06,0.0,1.0,2.0,,,0.0
48,Mouse 3,Quinpirole,1.06,0.0,1.0,1.0,,,8.0
49,Mouse 3,Quinpirole,1.58,,,,8.0,59.0,5.0
50,Mouse 3,Quinpirole,1.58,,,,10.0,15.0,4.0
51,Mouse 3,Quinpirole,1.46,,,,10.0,30.0,1.0
52,Mouse 3,Quinpirole,1.46,,,,8.0,20.0,2.0
53,Mouse 4,Vehicle,0.94,0.0,0.0,0.0,,,4.0
54,Mouse 4,Vehicle,1.06,0.0,0.0,1.0,,,2.0
55,Mouse 4,Vehicle,1.06,3.0,0.0,0.0,,,10.0
56,Mouse 4,Vehicle,1.34,,,,2.0,1.0,2.0
57,Mouse 4,Vehicle,1.46,,,,0.0,0.0,2.0
58,Mouse 4,Vehicle,1.46,,,,0.0,0.0,3.0
